wife_age,wife_education,husband_education,number_of_children,wife_religion,wife_working,husband_occupation,standard_of_living,media_exposure,contraceptive_method_used
mature_adult,3,3,children_7_above,1,1,3,4,0,2
prime_adult,4,4,children_2_3,1,0,1,3,0,2
mature_adult,2,2,children_7_above,1,1,2,4,0,2
adult,3,2,children_4_6,1,1,3,2,0,2
mature_adult,3,3,children_7_above,1,1,2,3,0,2
mature_adult,4,4,children_4_6,1,0,1,4,0,2
mature_adult,3,4,children_2_3,1,0,2,4,0,2
mature_adult,4,4,children_7_above,1,1,3,2,0,2
prime_adult,2,4,children_2_3,1,1,3,3,0,2
prime_adult,4,4,children_2_3,1,0,1,3,0,2
adult,4,4,children_4_6,1,1,3,4,0,2
adult,3,4,children_4_6,1,1,1,3,0,2
prime_adult,4,4,children_2_3,1,1,1,4,0,2
prime_adult,3,3,child_1,1,0,3,4,0,2
prime_adult,4,4,child_1,1,0,1,3,0,2
adult,3,4,children_7_above,1,1,2,2,0,2
adult,4,4,children_4_6,0,1,3,3,0,2
adult,4,4,children_4_6,1,1,3,3,0,2
mature_adult,4,4,children_7_above,1,1,2,4,0,2
prime_adult,4,4,child_1,1,1,1,4,0,2
prime_adult,4,4,children_2_3,0,1,1,3,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
mature_adult,3,4,children_4_6,1,1,1,3,0,2
prime_adult,4,4,child_1,1,0,1,4,0,2
adult,4,4,children_2_3,1,1,3,3,0,2
prime_adult,4,4,children_2_3,1,0,3,3,0,2
mature_adult,4,4,children_4_6,1,0,1,4,0,2
prime_adult,4,4,children_4_6,1,1,1,3,0,2
young_adult,2,2,child_1,1,1,3,2,0,2
adult,3,3,children_4_6,1,0,3,3,0,2
adult,3,4,children_2_3,1,1,1,4,0,2
adult,4,4,children_4_6,1,1,3,4,0,2
prime_adult,4,3,children_4_6,1,0,3,2,0,2
adult,4,4,children_2_3,1,0,1,4,0,2
mature_adult,3,3,children_7_above,1,1,1,4,0,2
mature_adult,3,3,children_4_6,1,1,1,4,0,2
mature_adult,3,4,children_4_6,1,1,3,2,1,2
mature_adult,1,1,children_7_above,1,1,3,3,0,2
young_adult,4,4,child_1,1,1,1,3,0,2
prime_adult,4,4,child_1,0,0,1,4,0,2
adult,3,4,children_2_3,0,1,2,3,0,2
mature_adult,3,3,children_4_6,1,1,2,4,0,2
mature_adult,4,4,children_2_3,0,0,1,4,0,2
adult,4,4,children_2_3,0,1,2,4,0,2
young_adult,4,4,child_1,1,1,2,1,0,2
adult,3,4,children_4_6,0,0,2,4,0,2
prime_adult,2,3,child_1,1,0,4,4,0,2
mature_adult,4,4,children_4_6,0,0,2,4,0,2
adult,4,4,children_4_6,0,0,2,4,0,2
mature_adult,4,4,children_4_6,0,0,2,4,0,2
mature_adult,4,4,children_2_3,0,1,1,4,0,2
adult,4,4,children_2_3,1,1,2,3,0,2
prime_adult,4,4,children_2_3,1,0,1,3,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
mature_adult,4,4,children_7_above,0,1,1,4,0,2
prime_adult,4,4,children_2_3,1,1,1,3,0,2
prime_adult,4,4,child_1,1,1,1,4,0,2
mature_adult,4,4,children_2_3,1,0,1,4,0,2
mature_adult,4,4,children_2_3,1,1,1,4,0,2
prime_adult,4,4,child_1,1,1,1,4,0,2
adult,4,3,children_4_6,1,1,2,4,0,2
prime_adult,4,4,children_2_3,1,1,3,4,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
minor,4,4,child_1,1,1,2,4,0,2
adult,3,4,children_2_3,1,1,2,2,0,2
adult,3,4,children_4_6,1,1,1,2,0,2
prime_adult,4,4,children_2_3,1,0,1,3,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
mature_adult,4,4,children_4_6,1,1,1,3,0,2
mature_adult,4,4,children_2_3,1,1,1,4,0,2
adult,4,4,children_4_6,1,1,2,4,0,2
adult,2,4,children_2_3,0,0,3,4,1,2
adult,4,2,children_2_3,0,1,1,3,0,2
adult,4,4,children_2_3,0,1,3,4,0,2
mature_adult,4,4,children_2_3,0,1,2,4,0,2
prime_adult,4,4,children_2_3,0,1,1,4,0,2
mature_adult,3,4,children_2_3,0,1,3,4,0,2
adult,4,4,child_1,0,1,2,4,0,2
adult,3,4,children_2_3,0,0,3,4,0,2
adult,3,4,children_2_3,0,1,2,4,0,2
mature_adult,4,4,children_4_6,0,1,2,4,0,2
mature_adult,3,3,children_4_6,0,1,2,4,0,2
mature_adult,4,4,children_4_6,0,1,2,4,0,2
adult,4,4,children_2_3,0,0,3,4,0,2
adult,4,4,children_4_6,0,0,2,4,0,2
mature_adult,4,4,children_2_3,0,0,1,4,0,2
adult,4,4,children_4_6,0,1,3,4,0,2
adult,3,4,children_7_above,1,1,2,4,0,2
mature_adult,4,3,children_7_above,1,0,1,4,0,2
adult,2,2,children_4_6,1,1,3,4,0,2
adult,4,4,children_4_6,1,1,3,4,0,2
adult,4,4,children_4_6,1,1,1,4,0,2
adult,4,4,children_4_6,1,1,1,4,0,2
adult,3,3,children_2_3,1,1,2,3,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
adult,4,4,children_2_3,0,1,2,4,0,2
mature_adult,4,4,children_4_6,0,1,1,4,0,2
mature_adult,4,4,children_7_above,1,1,2,4,0,2
adult,4,4,children_2_3,0,0,2,4,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
mature_adult,4,4,children_4_6,0,1,1,4,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
mature_adult,4,4,children_4_6,1,1,1,4,0,2
adult,4,4,children_2_3,1,1,1,4,0,2
mature_adult,4,4,children_2_3,0,1,1,4,0,2
mature_adult,4,4,children_2_3,1,0,1,4,0,2
adult,3,3,children_4_6,1,1,3,4,0,2
adult,3,3,children_4_6,1,1,3,4,0,2
adult,2,2,children_7_above,1,1,2,2,0,2
prime_adult,3,2,children_4_6,1,1,2,4,0,2
mature_adult,1,1,children_7_above,1,1,3,4,1,2
prime_adult,2,4,children_2_3,1,1,1,4,1,2
prime_adult,3,4,children_4_6,1,1,1,2,1,2
mature_adult,4,4,children_4_6,1,0,1,4,0,2
prime_adult,3,3,children_4_6,1,1,3,4,0,3
prime_adult,2,2,children_4_6,1,1,3,1,0,3
mature_adult,3,4,children_4_6,1,1,1,2,0,3
adult,2,2,children_4_6,1,1,3,1,0,3
prime_adult,4,4,child_1,1,0,1,4,0,3
adult,4,4,children_2_3,1,0,1,4,0,3
minor,2,2,child_1,1,1,3,2,0,3
prime_adult,1,2,children_4_6,1,1,2,3,0,3
prime_adult,2,4,child_1,1,1,1,4,0,3
young_adult,3,3,child_1,1,1,3,3,0,3
adult,2,2,children_4_6,1,1,2,4,0,3
mature_adult,4,4,children_7_above,1,1,1,4,0,3
prime_adult,2,4,children_2_3,1,0,3,3,0,3
prime_adult,4,4,children_2_3,1,1,3,4,0,3
young_adult,3,4,children_2_3,1,1,1,3,0,3
prime_adult,4,4,child_1,1,1,3,2,0,3
adult,2,3,children_4_6,1,0,2,3,0,3
prime_adult,3,3,child_1,1,0,3,3,0,3
prime_adult,2,3,child_1,1,1,3,1,0,3
mature_adult,4,4,children_2_3,1,1,1,4,0,3
adult,4,4,children_2_3,1,1,2,4,0,3
adult,4,4,child_1,1,1,1,4,0,3
prime_adult,1,4,children_2_3,1,1,4,4,1,3
adult,3,4,children_7_above,1,1,3,4,0,3
adult,3,4,children_4_6,1,0,2,4,0,3
prime_adult,2,4,children_2_3,1,1,4,4,0,3
adult,2,4,children_2_3,1,1,2,4,0,3
adult,2,3,children_4_6,1,0,3,3,0,3
young_adult,3,3,children_2_3,1,1,2,4,0,3
prime_adult,2,4,children_2_3,1,1,3,4,0,3
prime_adult,3,3,children_2_3,1,1,3,3,0,3
mature_adult,1,3,children_2_3,1,1,3,2,0,3
adult,3,4,children_4_6,1,1,1,3,0,3
mature_adult,4,3,children_7_above,1,1,1,4,0,3
adult,4,4,children_4_6,1,1,1,4,0,3
adult,3,3,children_7_above,1,1,3,4,0,3
prime_adult,3,4,children_2_3,1,1,1,4,0,3
adult,2,2,children_4_6,1,1,2,1,0,3
prime_adult,2,4,children_4_6,1,1,2,1,0,3
prime_adult,4,3,child_1,1,1,2,2,0,3
adult,4,4,children_4_6,1,1,1,4,0,3
adult,4,4,child_1,0,1,1,4,0,3
mature_adult,4,4,children_2_3,0,0,1,4,0,3
prime_adult,3,3,child_1,1,1,3,3,0,3
adult,3,3,children_2_3,1,1,3,3,0,3
adult,4,4,children_4_6,0,1,1,2,1,3
adult,4,4,children_4_6,0,1,1,4,0,3
mature_adult,4,4,child_1,1,1,3,3,0,3
adult,3,4,children_2_3,1,1,3,2,0,3
prime_adult,2,4,children_2_3,1,1,3,3,0,3
young_adult,4,4,child_1,1,1,1,3,0,3
adult,2,3,children_2_3,1,1,2,3,0,3
prime_adult,2,4,children_2_3,1,1,3,4,0,3
young_adult,4,4,child_1,1,1,2,3,0,3
mature_adult,4,4,children_7_above,1,1,2,4,0,3
prime_adult,3,4,children_2_3,1,1,3,2,0,3
prime_adult,4,4,children_2_3,1,1,1,4,0,3
mature_adult,4,3,child_1,1,0,2,2,0,3
young_adult,4,4,child_1,1,1,3,1,0,3
adult,2,3,children_7_above,1,1,3,3,0,3
prime_adult,1,2,children_4_6,1,0,1,2,0,3
prime_adult,2,3,children_4_6,1,1,2,1,0,3
young_adult,3,2,children_2_3,1,1,2,1,0,3
young_adult,2,3,child_1,1,1,2,1,0,3
adult,3,4,children_4_6,1,0,2,4,0,3
prime_adult,3,3,children_2_3,1,1,2,3,0,3
prime_adult,4,4,children_2_3,1,1,1,4,0,3
prime_adult,4,3,children_2_3,1,1,3,3,0,3
adult,2,3,children_4_6,1,1,3,2,0,3
mature_adult,3,4,children_2_3,1,1,1,3,0,3
adult,3,3,children_2_3,1,1,2,1,1,3
prime_adult,4,4,children_4_6,1,1,3,4,0,3
adult,3,3,children_7_above,1,1,3,4,0,3
mature_adult,3,3,children_4_6,1,0,3,3,0,3
adult,2,4,children_4_6,1,1,3,3,0,3
mature_adult,4,4,children_2_3,1,1,1,4,0,3
adult,4,4,children_2_3,0,1,1,4,0,3
mature_adult,4,4,children_4_6,1,1,1,4,0,3
adult,4,4,children_2_3,0,1,1,4,0,3
mature_adult,4,4,children_4_6,1,1,1,4,0,3
mature_adult,3,4,children_2_3,1,0,1,4,0,3
young_adult,4,4,child_1,1,1,2,3,0,3
adult,4,4,children_2_3,1,1,1,4,0,3
prime_adult,4,4,child_1,0,1,3,3,0,3
prime_adult,4,4,child_1,1,1,1,3,0,3
young_adult,2,3,child_1,1,0,3,2,0,3
young_adult,4,4,child_1,1,1,3,3,0,3
adult,4,4,children_4_6,1,1,1,3,0,3
adult,4,4,children_2_3,1,0,2,2,0,3
prime_adult,1,2,children_2_3,1,1,2,1,0,3
adult,3,3,children_4_6,0,1,3,1,0,3
young_adult,2,4,child_1,1,1,2,3,0,3
adult,2,2,children_7_above,1,0,2,3,0,3
prime_adult,2,2,children_2_3,1,1,3,4,0,3
young_adult,3,3,children_2_3,1,1,2,3,0,3
prime_adult,2,2,children_4_6,1,1,3,3,0,3
adult,4,4,children_2_3,0,0,1,4,0,3
adult,4,4,children_2_3,1,0,1,3,0,3
prime_adult,1,3,children_4_6,1,1,3,3,0,3
prime_adult,3,4,child_1,1,1,2,3,0,3
adult,2,4,children_7_above,1,1,2,3,0,3
prime_adult,2,4,child_1,1,1,3,3,0,3
adult,4,4,children_4_6,1,1,3,2,0,3
prime_adult,3,4,children_4_6,1,1,2,3,0,3
adult,2,3,children_7_above,1,1,3,3,0,3
mature_adult,4,4,children_7_above,1,1,1,4,0,3
adult,3,4,children_4_6,1,1,1,4,0,3
prime_adult,4,4,children_2_3,1,1,3,4,0,3
prime_adult,2,4,children_2_3,1,1,1,4,0,3
prime_adult,4,4,children_2_3,1,1,1,4,0,3
mature_adult,4,4,children_2_3,1,1,2,4,0,3
adult,3,4,children_4_6,1,1,3,3,0,3
prime_adult,2,3,children_2_3,1,1,2,1,0,3
adult,4,4,children_4_6,1,1,1,4,0,3
adult,4,4,children_4_6,1,1,1,4,0,3
adult,4,4,children_2_3,1,1,3,3,0,3
mature_adult,3,4,children_2_3,1,1,2,3,0,3
prime_adult,4,4,child_1,1,1,1,3,0,3
prime_adult,4,4,child_1,1,1,3,3,0,3
mature_adult,3,3,children_7_above,1,1,1,3,0,3
prime_adult,2,2,children_4_6,1,0,2,4,0,3
young_adult,3,4,children_2_3,1,1,2,3,0,3
prime_adult,3,3,children_2_3,1,1,3,3,0,3
adult,3,4,children_4_6,1,1,3,3,0,3
adult,4,4,children_4_6,1,1,2,3,0,3
mature_adult,4,4,children_7_above,1,1,2,4,0,3
prime_adult,4,4,child_1,0,1,1,4,0,3
adult,4,4,children_2_3,1,1,1,4,0,3
prime_adult,4,4,children_2_3,1,1,3,4,0,3
young_adult,4,4,children_2_3,1,1,1,3,0,3
mature_adult,4,4,children_2_3,0,1,1,3,0,3
prime_adult,3,4,children_4_6,1,1,3,3,0,3
adult,4,4,children_2_3,1,0,3,4,0,3
mature_adult,3,4,children_7_above,1,0,1,4,0,3
mature_adult,4,3,children_4_6,1,1,3,4,0,3
adult,4,4,children_2_3,1,0,1,4,0,3
adult,4,4,children_2_3,0,0,1,3,0,3
adult,4,4,children_2_3,1,0,1,4,0,3
prime_adult,4,4,children_2_3,1,1,1,3,0,3
adult,4,4,children_2_3,1,1,2,4,0,3
mature_adult,4,4,children_4_6,1,1,1,4,0,3
adult,4,4,children_4_6,1,1,2,4,0,3
adult,4,4,children_4_6,1,1,1,4,0,3
prime_adult,3,3,children_2_3,1,1,2,2,0,3
young_adult,1,3,children_2_3,1,1,3,1,0,3
young_adult,2,2,children_2_3,1,1,2,3,0,3
adult,3,4,children_2_3,1,1,2,3,0,3
young_adult,2,2,children_2_3,1,1,3,2,1,3
adult,4,4,children_2_3,1,1,1,4,0,3
adult,3,4,children_4_6,1,1,3,1,0,3
adult,3,3,children_2_3,1,0,3,2,0,3
mature_adult,3,4,children_4_6,1,0,1,4,0,3
prime_adult,3,3,children_2_3,1,0,2,1,0,3
young_adult,4,4,children_2_3,1,1,1,4,0,3
prime_adult,4,4,children_4_6,1,1,2,4,0,3
prime_adult,4,4,child_1,0,0,1,3,0,3
prime_adult,3,3,children_2_3,1,1,2,1,0,3
adult,4,4,children_2_3,1,1,2,4,0,3
adult,2,2,children_7_above,1,1,2,1,0,3
young_adult,2,2,child_1,1,1,4,3,0,3
adult,2,3,children_7_above,1,0,3,1,0,3
prime_adult,2,3,children_2_3,1,1,3,1,0,3
adult,2,2,children_4_6,1,1,3,4,0,3
adult,2,4,children_2_3,1,1,3,4,0,3
adult,4,4,children_2_3,1,0,1,4,0,3
prime_adult,2,3,children_4_6,1,1,3,3,0,3
prime_adult,2,4,children_4_6,1,0,2,4,0,3
prime_adult,3,3,child_1,1,1,2,2,0,3
young_adult,3,3,child_1,1,1,2,1,0,3
adult,1,2,children_4_6,1,1,2,2,1,3
prime_adult,3,3,children_2_3,1,1,3,2,0,3
mature_adult,3,4,children_4_6,1,1,1,3,0,3
minor,3,4,child_1,1,1,2,1,0,3
prime_adult,2,4,children_2_3,1,1,3,3,0,3
prime_adult,3,3,child_1,1,1,3,2,0,3
prime_adult,4,4,child_1,1,1,3,3,0,3
prime_adult,2,4,children_2_3,1,1,3,2,0,3
adult,1,3,children_4_6,1,1,3,4,0,3
adult,1,1,children_2_3,1,1,4,2,1,3
prime_adult,3,4,children_2_3,1,1,3,3,0,3
prime_adult,3,4,children_2_3,1,1,2,3,0,3
adult,3,3,children_2_3,1,1,3,1,0,3
prime_adult,3,4,children_4_6,1,1,1,2,0,3
prime_adult,1,3,children_4_6,1,1,3,3,0,3
prime_adult,3,4,children_2_3,1,1,1,3,0,3
prime_adult,3,3,children_2_3,1,1,3,3,0,3
adult,4,4,children_2_3,1,1,1,4,0,3
young_adult,4,4,child_1,1,0,2,4,0,3
young_adult,4,4,child_1,1,1,2,4,0,3
prime_adult,2,3,children_4_6,1,1,2,4,0,3
young_adult,3,4,children_2_3,1,1,3,3,0,3
young_adult,3,3,child_1,1,1,3,3,0,3
mature_adult,1,4,children_7_above,1,1,2,1,0,3
adult,2,4,children_2_3,1,1,2,3,0,3
prime_adult,4,4,children_2_3,1,1,3,4,1,3
prime_adult,2,3,children_2_3,1,1,2,3,0,3
adult,4,4,children_4_6,1,0,3,4,0,3
prime_adult,3,3,children_2_3,1,1,2,1,0,3
adult,4,3,children_2_3,1,1,2,4,0,3
adult,1,4,children_4_6,1,1,3,4,1,3
prime_adult,4,4,children_2_3,1,0,2,4,0,3
prime_adult,3,4,children_2_3,1,1,3,4,0,3
prime_adult,3,4,child_1,1,1,3,4,0,3
adult,2,3,children_4_6,1,0,2,2,0,3
young_adult,1,2,children_2_3,1,1,3,1,1,3
prime_adult,3,3,child_1,1,1,2,1,0,3
prime_adult,2,3,children_2_3,1,1,2,4,0,3
adult,2,3,children_2_3,1,1,2,4,0,3
adult,2,2,children_2_3,1,1,3,4,0,3
mature_adult,4,4,children_7_above,1,1,1,4,0,3
prime_adult,3,3,children_4_6,1,1,3,4,0,3
young_adult,3,4,child_1,1,0,1,4,0,3
prime_adult,3,3,children_4_6,1,1,3,3,0,3
prime_adult,3,4,children_2_3,1,1,3,3,0,3
prime_adult,2,3,children_2_3,1,1,3,4,0,3
prime_adult,4,4,child_1,0,1,3,4,0,3
prime_adult,2,4,children_2_3,1,1,3,2,0,3
prime_adult,3,4,children_2_3,1,1,3,3,0,3
prime_adult,3,4,children_2_3,1,1,3,2,0,3
adult,3,4,children_7_above,1,1,3,2,0,3
prime_adult,3,2,children_2_3,1,0,3,2,0,3
young_adult,4,3,child_1,1,1,3,4,0,3
adult,1,4,children_4_6,1,1,3,2,0,3
prime_adult,2,3,children_2_3,1,1,3,1,0,3
prime_adult,1,2,children_2_3,1,0,3,2,0,3
prime_adult,1,2,children_2_3,1,1,3,2,1,3
prime_adult,4,4,children_2_3,1,1,3,3,0,3
prime_adult,3,4,children_4_6,1,1,2,4,0,3
young_adult,4,4,children_2_3,1,1,3,2,0,3
prime_adult,2,4,children_4_6,1,1,3,4,0,3
prime_adult,3,3,children_2_3,1,1,3,3,0,3
prime_adult,2,3,children_2_3,1,1,3,3,0,3
prime_adult,4,3,children_2_3,1,1,3,3,0,3
prime_adult,4,4,children_2_3,1,0,1,4,0,3
prime_adult,3,4,children_4_6,1,0,1,3,0,3
mature_adult,4,4,children_4_6,1,1,1,4,0,3
prime_adult,4,4,children_2_3,1,1,3,4,0,3
adult,3,4,children_4_6,1,1,1,4,0,3
young_adult,3,4,child_1,1,1,3,2,0,3
young_adult,1,3,child_1,1,1,3,3,1,3
young_adult,3,4,child_1,1,1,3,3,0,3
prime_adult,3,3,children_4_6,1,1,3,3,0,3
young_adult,3,4,child_1,0,0,1,4,0,3
prime_adult,3,2,child_1,1,1,3,3,0,3
prime_adult,3,3,children_2_3,0,1,2,3,0,3
adult,4,4,children_2_3,0,0,2,4,0,3
prime_adult,3,4,children_2_3,1,0,3,4,0,3
adult,4,4,children_4_6,1,1,2,3,0,3
adult,3,4,children_4_6,1,1,3,2,0,3
adult,4,4,children_2_3,0,0,3,3,0,3
young_adult,2,4,child_1,1,1,3,3,0,3
adult,3,3,children_2_3,0,1,3,4,0,3
adult,4,3,children_2_3,0,1,3,4,0,3
adult,2,2,children_4_6,0,1,3,2,0,3
mature_adult,4,4,children_2_3,0,1,3,4,0,3
mature_adult,4,3,children_4_6,1,1,1,3,0,3
adult,4,4,children_2_3,1,0,1,4,0,3
mature_adult,4,4,children_4_6,1,1,1,4,0,3
young_adult,3,3,child_1,1,1,2,2,0,3
adult,3,4,children_2_3,1,1,1,2,0,3
prime_adult,3,4,children_2_3,1,1,1,3,0,3
young_adult,4,4,child_1,0,1,3,1,0,3
prime_adult,1,2,children_2_3,1,1,2,3,0,3
young_adult,1,3,children_2_3,1,1,3,2,0,3
prime_adult,4,4,children_4_6,1,1,2,3,0,3
prime_adult,3,3,children_2_3,1,1,2,3,0,3
prime_adult,4,4,children_2_3,1,0,3,3,0,3
adult,3,3,children_2_3,1,1,3,1,1,3
adult,1,3,children_4_6,1,1,3,3,0,3
adult,2,4,children_4_6,1,1,3,4,0,3
prime_adult,2,3,children_4_6,1,1,3,3,0,3
prime_adult,4,4,children_2_3,1,1,1,4,0,3
adult,4,4,children_2_3,0,0,2,4,0,3
mature_adult,4,4,children_4_6,1,1,1,3,0,3
prime_adult,4,4,children_2_3,1,0,1,4,0,3
young_adult,3,4,children_2_3,0,1,3,4,0,3
adult,4,4,children_2_3,1,1,4,3,0,3
mature_adult,4,4,children_4_6,1,1,1,4,0,3
young_adult,4,4,child_1,1,1,3,2,0,3
mature_adult,3,4,children_2_3,0,1,3,3,0,3
adult,1,2,children_4_6,1,1,2,2,1,3
young_adult,2,2,child_1,1,1,3,2,0,3
adult,1,2,children_4_6,0,1,2,3,0,3
adult,3,4,children_4_6,0,1,3,4,0,3
mature_adult,2,3,children_4_6,0,0,3,4,0,3
mature_adult,1,2,children_4_6,1,1,3,3,0,3
adult,4,4,children_2_3,0,1,3,4,0,3
adult,3,4,children_2_3,0,1,3,4,0,3
adult,3,4,children_4_6,0,1,2,4,0,3
adult,4,4,children_2_3,0,1,3,4,0,3
prime_adult,2,3,children_4_6,1,1,3,2,0,3
prime_adult,4,4,children_2_3,0,1,2,4,0,3
mature_adult,4,4,children_4_6,0,1,1,4,0,3
adult,4,3,children_2_3,0,1,2,4,0,3
mature_adult,3,3,children_2_3,0,0,3,4,0,3
prime_adult,4,4,children_2_3,0,0,3,4,0,3
prime_adult,3,3,children_2_3,1,0,2,4,0,3
adult,4,4,children_4_6,1,1,2,2,0,3
prime_adult,2,4,children_4_6,1,1,3,4,0,3
adult,1,3,children_4_6,1,1,3,2,0,3
minor,2,2,no_children,1,0,3,2,0,3
young_adult,3,3,child_1,1,1,3,2,0,3
prime_adult,2,2,child_1,1,1,3,1,0,3
prime_adult,2,3,children_2_3,1,0,3,2,0,3
prime_adult,2,2,child_1,1,1,3,3,0,3
adult,1,2,children_4_6,1,0,4,4,0,3
adult,3,4,children_4_6,1,1,3,2,0,3
adult,2,3,children_4_6,1,1,4,2,0,3
adult,3,4,children_4_6,1,0,3,3,0,3
prime_adult,3,4,children_2_3,1,1,3,4,0,3
prime_adult,3,4,children_4_6,1,1,2,4,0,3
mature_adult,1,2,children_2_3,1,0,2,4,0,3
young_adult,3,3,children_2_3,1,1,2,3,0,3
adult,3,2,children_7_above,1,0,3,4,0,3
young_adult,2,2,child_1,1,1,3,2,0,3
mature_adult,2,3,children_4_6,1,1,3,3,0,3
mature_adult,3,3,children_7_above,0,1,2,4,0,3
adult,2,4,children_7_above,1,1,1,4,0,3
mature_adult,2,4,children_2_3,0,1,3,4,0,3
adult,4,4,children_2_3,1,0,1,4,0,3
prime_adult,3,4,children_4_6,1,1,2,3,0,3
young_adult,3,4,child_1,0,1,2,4,0,3
adult,4,4,children_4_6,1,0,1,4,0,3
young_adult,2,2,children_2_3,1,0,3,3,0,3
adult,3,3,children_4_6,1,0,2,2,0,3
adult,4,4,children_2_3,1,0,1,4,0,3
adult,3,4,children_4_6,1,1,1,4,0,3
adult,4,4,children_2_3,1,1,3,4,0,3
adult,4,4,child_1,1,1,1,4,0,3
prime_adult,4,4,children_2_3,1,1,2,4,0,3
adult,4,4,children_2_3,1,1,1,4,0,3
young_adult,1,2,children_2_3,1,1,3,4,0,3
adult,4,4,children_2_3,1,1,1,4,0,3
prime_adult,4,4,children_2_3,1,1,3,4,0,3
prime_adult,2,3,children_2_3,1,0,3,2,0,3
adult,4,4,children_2_3,0,0,3,3,1,3
young_adult,3,4,children_2_3,1,1,2,4,0,3
mature_adult,4,4,children_2_3,1,1,1,4,0,3
prime_adult,3,4,children_2_3,1,1,3,2,0,3
adult,4,4,children_2_3,0,1,3,4,0,3
adult,4,4,children_2_3,0,1,2,4,0,3
adult,4,4,children_2_3,1,1,2,4,0,3
adult,4,4,children_2_3,1,0,1,4,0,3
adult,4,4,children_4_6,0,0,1,4,0,3
prime_adult,4,4,child_1,1,1,1,4,0,3
adult,4,4,children_2_3,1,1,4,4,0,3
prime_adult,2,3,children_4_6,1,1,2,3,0,3
prime_adult,3,2,children_4_6,1,1,2,2,0,3
prime_adult,2,3,children_2_3,1,1,2,3,0,3
prime_adult,3,4,children_2_3,1,1,1,4,0,3
adult,3,4,children_2_3,0,0,3,4,0,3
mature_adult,3,4,children_7_above,1,1,3,4,0,3
prime_adult,4,4,child_1,1,1,1,4,0,3
young_adult,2,1,children_2_3,1,0,3,1,1,3
prime_adult,2,3,children_4_6,1,0,3,2,0,3
prime_adult,2,3,children_4_6,1,1,2,4,0,3
adult,2,4,children_7_above,1,1,1,4,1,3
mature_adult,1,2,children_7_above,1,0,3,4,1,3
adult,2,2,children_4_6,1,0,3,1,1,1
mature_adult,3,2,children_7_above,1,1,2,3,0,1
prime_adult,2,4,child_1,1,0,1,1,0,1
prime_adult,4,4,no_children,1,0,3,4,0,1
prime_adult,2,2,children_2_3,1,1,3,3,0,1
mature_adult,1,1,child_1,1,0,3,3,1,1
prime_adult,4,4,no_children,1,0,1,4,0,1
adult,3,4,children_2_3,1,1,3,3,0,1
mature_adult,4,4,child_1,1,1,3,4,0,1
mature_adult,2,3,children_2_3,1,1,1,4,0,1
prime_adult,2,4,children_2_3,1,1,3,4,0,1
young_adult,2,2,child_1,1,1,3,2,0,1
prime_adult,3,4,children_4_6,1,1,1,4,0,1
adult,1,2,children_7_above,1,1,2,3,0,1
prime_adult,4,4,children_2_3,1,1,3,2,0,1
young_adult,4,4,no_children,1,1,3,2,0,1
young_adult,3,4,no_children,1,1,3,3,0,1
adult,4,4,child_1,1,1,1,3,0,1
adult,2,3,child_1,1,1,3,3,0,1
adult,2,4,children_2_3,1,1,1,3,0,1
prime_adult,1,2,children_4_6,1,1,1,4,1,1
mature_adult,2,4,child_1,1,1,2,3,0,1
prime_adult,3,4,no_children,1,0,1,3,0,1
prime_adult,4,4,child_1,1,0,3,3,0,1
prime_adult,4,4,child_1,0,0,2,4,0,1
adult,4,4,children_2_3,0,1,1,4,0,1
mature_adult,2,2,children_4_6,1,0,3,2,1,1
mature_adult,2,2,children_4_6,0,1,2,2,0,1
mature_adult,2,2,children_7_above,1,1,1,3,0,1
mature_adult,3,4,children_7_above,1,1,3,3,0,1
adult,3,4,children_4_6,1,0,2,2,0,1
adult,3,4,no_children,1,1,3,4,0,1
mature_adult,2,3,children_4_6,1,1,2,3,0,1
mature_adult,2,2,children_4_6,1,1,3,1,0,1
mature_adult,4,4,child_1,1,1,2,4,0,1
mature_adult,4,4,children_4_6,0,1,1,4,0,1
mature_adult,4,4,children_2_3,1,1,1,4,0,1
adult,4,4,children_2_3,1,1,1,4,0,1
prime_adult,3,3,child_1,1,0,2,4,0,1
prime_adult,3,4,no_children,1,0,2,3,0,1
mature_adult,2,3,children_2_3,0,1,2,3,0,1
prime_adult,3,3,children_2_3,1,0,3,2,0,1
prime_adult,2,4,no_children,1,0,3,4,0,1
mature_adult,1,1,no_children,0,0,2,1,0,1
adult,4,4,children_2_3,1,0,2,3,0,1
mature_adult,1,4,children_7_above,1,1,1,2,0,1
prime_adult,2,3,child_1,1,1,3,1,0,1
prime_adult,3,4,child_1,0,1,2,2,0,1
adult,1,2,no_children,1,0,3,3,0,1
mature_adult,4,4,children_4_6,1,1,1,3,0,1
adult,3,4,children_4_6,1,1,1,3,0,1
adult,1,4,children_2_3,1,1,2,2,0,1
young_adult,4,4,no_children,1,0,2,4,0,1
